survey_id,step,step_idx,model_id,seed_song_id,genre,playlist_number,relevance,novelty,satisfaction,age,country,age_group,model_type
23,4,3,model2,0dqGfCMAGyDgpUAgLNOjWd,Metal/Hard Rock,1,4,4,2,20,GBR,20-35,Multimodal (Simple)
23,5,4,model2,2WfaOiMkCvy7F5fcp2zZ8L,Pop/Synthpop,2,3,5,3,20,GBR,20-35,Multimodal (Simple)
23,6,5,model2,4vUmTMuQqjdnvlZmAH61Qk,Pop/R&B,3,2,5,1,20,GBR,20-35,Multimodal (Simple)
23,7,6,model3,0dqGfCMAGyDgpUAgLNOjWd,Metal/Hard Rock,1,5,5,3,20,GBR,20-35,Multimodal (Advanced)
23,8,7,model3,2WfaOiMkCvy7F5fcp2zZ8L,Pop/Synthpop,2,4,4,2,20,GBR,20-35,Multimodal (Advanced)
23,9,8,model3,4vUmTMuQqjdnvlZmAH61Qk,Pop/R&B,3,3,2,2,20,GBR,20-35,Multimodal (Advanced)
24,1,0,model2,0dqGfCMAGyDgpUAgLNOjWd,Metal/Hard Rock,1,2,3,2,21,GBR,20-35,Multimodal (Simple)
24,2,1,model2,2WfaOiMkCvy7F5fcp2zZ8L,Pop/Synthpop,2,1,3,1,21,GBR,20-35,Multimodal (Simple)
24,3,2,model2,4vUmTMuQqjdnvlZmAH61Qk,Pop/R&B,3,1,5,2,21,GBR,20-35,Multimodal (Simple)
24,4,3,model1,0dqGfCMAGyDgpUAgLNOjWd,Metal/Hard Rock,1,3,3,3,21,GBR,20-35,Unimodal (Audio Only)
24,5,4,model1,2WfaOiMkCvy7F5fcp2zZ8L,Pop/Synthpop,2,2,2,3,21,GBR,20-35,Unimodal (Audio Only)
24,6,5,model1,4vUmTMuQqjdnvlZmAH61Qk,Pop/R&B,3,1,4,2,21,GBR,20-35,Unimodal (Audio Only)
24,7,6,model3,0dqGfCMAGyDgpUAgLNOjWd,Metal/Hard Rock,1,3,2,4,21,GBR,20-35,Multimodal (Advanced)
24,8,7,model3,2WfaOiMkCvy7F5fcp2zZ8L,Pop/Synthpop,2,1,4,2,21,GBR,20-35,Multimodal (Advanced)
24,9,8,model3,4vUmTMuQqjdnvlZmAH61Qk,Pop/R&B,3,2,3,3,21,GBR,20-35,Multimodal (Advanced)
25,1,0,model2,0dqGfCMAGyDgpUAgLNOjWd,Metal/Hard Rock,1,3,4,2,18,GBR,<20,Multimodal (Simple)
